UNIQUEID,split
640798,train
474181,train
580940,train
455735,train
468074,val
616305,train
447543,val
614569,train
579487,val
601951,train
561902,train
554724,test
583539,train
517210,train
602141,train
649281,train
641164,train
584247,train
616201,train
451461,train
423042,train
592475,test
583389,test
649285,train
567010,train
635523,train
642937,train
593439,train
649206,train
588276,test
461273,train
572305,train
598532,train
617120,train
438530,train
470979,train
447497,val
488587,test
496298,train
529155,train
497383,train
469085,train
622021,val
540113,train
484730,val
487998,train
555872,test
486056,train
501525,train
588466,val
559961,val
427492,train
601216,train
578273,train
544404,train
546324,val
647156,val
580462,train
520434,train
615796,test
624781,test
419995,test
606733,train
443106,test
602753,train
584224,train
537950,train
588749,test
438308,train
489008,val
630644,test
559524,test
584332,train
463871,test
571236,train
499011,train
501233,train
465152,train
427415,train
649283,train
588397,train
455425,train
425254,train
573692,train
638734,train
466503,train
475473,test
595615,train
508337,train
419209,train
447351,train
551163,val
604089,train
476287,train
588510,train
497949,train
647118,test
426847,train
485020,val
589965,val
557102,train
595575,test
501671,train
447035,test
584278,train
638021,train
634051,train
506274,train
533362,test
431974,val
474924,train
555185,val
580507,train
630947,train
590364,train
529885,val
465307,train
532254,test
466969,val
449329,val
529129,val
629506,train
498044,train
537460,train
642342,train
651090,test
454009,test
538888,val
564416,train
631315,train
573683,train
612475,train
555612,train
588297,train
566697,val
477875,train
478344,train
535207,test
485916,train
641881,train
574452,train
589534,val
557491,train
508124,train
424643,train
484987,train
531909,test
555213,train
615384,train
514933,train
631685,test
584283,train
557558,test
505399,train
632154,val
484404,val
555132,train
499010,test
517867,train
578968,val
578220,train
566745,train
653687,test
574460,train
551928,train
527432,val
447732,train
582615,test
567508,val
524146,train
613456,val
590110,val
595871,train
550595,train
551985,train
624184,train
590111,train
467288,train
588374,train
556413,train
460479,train
463552,val
638427,train
446839,train
567525,train
500538,train
499720,train
465380,train
638192,val
447523,train
571251,test
542737,train
588379,test
649254,test
511105,train
520025,train
437688,train
563277,train
556967,train
427197,train
435633,train
591028,train
582472,train
611638,train
552589,train
611895,val
561699,val
456164,train
557217,train
487716,test
487267,train
633301,train
563267,train
574227,train
553705,train
496194,val
423807,train
531320,train
569871,train
499176,test
497986,train
590974,val
523552,train
535658,val
454193,train
467492,train
451201,train
619790,train
474488,val
646424,train
487455,train
555334,train
525545,train
650905,val
478871,train
564441,train
571292,train
613233,train
556214,val
461292,val
503051,train
636717,train
514873,train
496220,train
448484,train
519926,train
502266,train
536351,train
479227,train
418525,train
492989,train
446424,train
556460,train
569784,train
429127,train
574066,test
592168,train
535877,train
516030,train
464437,train
629128,train
504344,train
562608,val
541430,train
611231,val
518623,train
526081,train
605821,val
640707,train
501414,val
462516,train
577837,train
555369,train
542953,train
624963,val
465650,val
454141,train
459594,train
580730,train
514902,train
542594,val
562770,train
465647,train
614418,train
618283,train
555348,test
426629,test
419656,val
426594,test
419950,train
426000,train
417990,test
419161,train
422815,train
635245,train
514280,train
516461,val
553920,train
509038,test
439871,train
486138,train
651134,train
501063,train
546505,test
490052,train
610510,train
647124,train
474465,train
547446,train
623405,val
468987,val
476173,train
434694,train
640266,train
542329,val
586372,train
500778,train
434687,train
540902,train
501188,test
500772,train
646172,train
501393,train
420775,train
615105,train
425858,val
465435,train
529532,val
458308,train
510748,test
430468,train
578622,train
425332,train
418037,train
452659,train
617355,train
434691,train
635240,train
486234,val
646006,test
529507,train
561128,val
636375,train
521409,train
465266,val
645152,test
622572,train
516048,train
646119,train
494129,train
540704,train
446069,test
472197,test
439277,train
617312,test
530516,train
640011,train
429016,train
645881,val
639295,train
613198,train
513979,train
425227,train
534184,train
452871,train
635232,train
632406,train
610364,test
458295,train
559738,train
542093,train
578290,train
529502,test
628981,train
561159,train
628964,train
479997,val
540597,test
544883,train
633194,train
455809,val
492057,test
498883,train
460270,val
576854,train
586693,train
564191,train
438241,train
614057,train
547994,train
453699,train
455897,train
648524,test
568333,train
647248,train
623398,val
560781,test
421075,train
628973,val
430695,val
609273,train
480359,test
440872,train
521650,train
446053,train
654107,train
561106,val
561200,train
527152,train
435267,train
648126,train
646064,train
440217,train
652892,train
639123,train
457994,test
633208,val
516403,train
540856,train
586588,train
628946,val
623481,test
475412,val
646040,train
633177,train
541540,val
609869,train
437089,test
625299,val
466101,train
621970,test
541326,train
462609,train
633197,val
471119,train
440859,train
635260,val
516406,train
627313,train
578530,train
627175,train
623477,test
573821,val
633205,train
508206,train
491981,train
640245,train
621969,train
426641,train
507659,test
635250,train
567986,train
622383,train
494002,train
480528,test
647254,train
422570,test
554183,train
632551,train
541220,train
640236,train
586376,train
645691,train
623828,test
514745,train
446561,train
440114,train
475566,val
582145,val
566204,train
430875,train
503045,val
465271,train
426616,train
473005,train
470003,train
472648,test
515069,train
516387,train
640531,train
617390,train
554154,train
483990,train
638347,train
568694,train
617238,test
622410,train
562225,val
443634,train
617299,train
617348,val
566327,val
598258,train
555703,train
424215,train
501866,train
421531,train
617257,val
501918,train
567653,test
460320,test
495301,val
549923,train
597888,train
561759,train
607086,test
549764,train
637377,train
493723,train
500736,train
497674,test
604528,train
617015,test
520272,train
651547,val
541269,train
556436,train
468297,train
446058,train
611816,train
543714,test
621811,train
554130,test
440284,train
522511,train
617039,train
521634,train
616844,test
620320,test
652056,test
524680,train
566333,train
493730,train
518902,train
423429,val
523884,train
451692,test
534681,test
613246,train
458569,train
562508,train
487272,train
445603,train
560338,train
608833,test
605254,train
476547,test
557196,train
619587,train
576449,test
490727,val
643865,train
430633,train
474674,train
503944,train
455953,train
452242,train
540703,test
617368,train
490616,train
629043,train
505993,train
422867,train
540818,val
497766,train
522142,train
576930,train
633355,train
495663,train
644215,train
584687,train
543737,train
425614,train
440433,test
470132,val
426042,train
525230,train
609384,train
603710,train
547332,train
603799,train
523596,train
503136,train
578217,train
534222,train
518835,train
443878,train
471922,train
606168,train
619027,test
475255,train
445951,test
633200,train
471864,train
507723,train
537038,train
641712,train
506427,val
562219,val
430428,train
643786,val
617046,train
467238,train
648314,train
617183,train
609224,train
453928,train
577934,train
470418,train
612506,test
468335,train
603986,train
470438,test
433603,test
645568,train
436667,train
634670,train
653630,train
579677,test
556733,train
547327,train
463104,train
640210,train
515789,train
639713,train
517858,test
535521,train
584140,train
422862,train
508912,val
631006,train
640904,test
514103,train
458732,test
640202,val
537157,train
419130,train
511653,test
541282,train
469309,train
431195,val
432401,train
458074,test
651960,train
613693,train
646725,train
497225,train
465476,test
553381,train
457172,test
458068,train
635579,test
420290,val
633689,train
532829,train
625048,train
623921,train
514267,train
468299,train
614178,train
617475,train
614163,train
420316,train
642977,train
640528,train
500228,train
454502,train
546462,test
457090,test
615322,test
536061,train
624808,val
635841,test
546251,test
606508,test
424103,train
438026,train
550521,train
454604,train
624084,train
652018,train
521555,train
635397,train
606671,val
468940,train
432848,train
617425,test
523363,train
465382,val
473451,train
499559,train
606541,val
505026,train
473292,train
483761,train
432422,train
477869,train
432582,train
569899,train
614716,train
432985,train
425070,val
539159,train
565737,train
627421,train
499769,val
424202,train
629054,train
435103,test
550429,train
606048,train
565512,train
635764,test
562583,train
600305,test
435749,train
643898,test
599880,val
478440,test
584550,train
469765,test
475316,train
530833,val
596950,train
424940,test
597178,train
440212,train
507762,train
560420,train
440206,train
508842,train
546966,train
471428,test
596919,train
596813,train
462808,train
442768,train
607516,test
618318,train
630843,train
454327,val
507763,train
460110,train
596799,test
510195,train
494810,test
618686,test
536894,test
439949,train
652615,train
433192,test
433240,train
426334,train
440093,val
439978,train
510620,train
645042,test
448084,test
597037,val
631882,test
596858,train
596917,train
581782,train
507778,train
445098,train
582132,train
530257,train
606764,val
631589,train
584615,test
460390,train
440178,train
563789,test
607863,train
632337,val
536317,train
560766,train
537423,train
630250,train
509243,test
618547,train
560221,train
467519,train
645509,train
597045,val
507747,train
440174,train
619125,train
461631,train
600121,test
508031,train
425239,train
579343,test
474609,train
546819,train
484809,test
645392,val
597001,train
629568,train
447893,test
481536,train
491393,train
635027,train
635544,train
456699,train
475357,train
630167,test
537090,train
550951,train
453307,test
457638,val
629171,test
526761,train
454384,test
475284,val
597129,train
441832,test
630411,test
645377,train
453887,train
516947,train
428036,train
617534,train
566243,val
560327,val
597140,train
570026,train
440698,train
490692,train
508431,val
597239,val
515363,train
518534,train
551873,train
645455,train
441698,train
524605,train
606726,train
442249,train
644886,train
539920,train
645459,train
543019,train
520653,train
441260,train
542517,train
597158,test
600188,train
538812,train
615025,train
525196,val
612882,train
562530,train
534881,train
505144,test
567394,train
445166,train
548150,train
431617,val
543154,train
545043,train
632003,train
629140,train
508215,val
653929,train
629603,test
643068,train
613357,train
549533,train
614065,train
504780,train
643531,val
444682,test
567481,train
427677,train
463759,train
441101,val
494636,train
427011,val
614724,val
613083,train
607636,train
647952,train
557098,train
476296,train
629427,train
444566,train
613527,val
537850,train
454122,val
643857,train
613449,train
488642,val
567429,train
613574,val
436513,train
614750,train
466856,test
635683,val
425580,test
553966,train
518671,train
627533,train
486965,test
444760,val
444401,test
592265,train
597629,test
634093,train
477088,train
425452,train
658623,train
467634,val
548060,val
548122,train
613911,train
647635,train
494397,train
610815,train
450120,test
506335,train
641225,train
567473,test
614029,train
461071,train
567490,train
458369,train
469799,train
514957,train
612766,train
506701,test
644210,train
617738,train
629290,train
548842,train
644121,train
593140,train
501459,train
522855,test
638702,test
600486,test
434568,val
449578,test
574324,train
531580,test
431001,train
436330,train
420606,train
509120,train
559413,test
629896,train
629365,val
497319,train
630735,train
442072,train
506449,train
503131,train
614690,train
496950,test
421822,train
427220,train
456135,train
456613,train
560500,train
512969,train
601786,train
430141,val
537418,val
569742,train
445766,train
580753,train
596475,train
555667,test
505363,train
562421,train
423121,train
571357,train
492826,test
498651,train
609242,val
543080,train
618058,train
601299,test
425684,train
459040,train
466695,val
574983,train
568019,train
571910,train
631520,train
429802,train
563196,train
563202,train
427538,test
648883,test
570975,train
488111,train
447737,train
485779,test
516503,test
527184,train
488350,train
610831,train
541305,test
491429,train
527150,train
619872,train
458872,test
627401,train
424397,train
638880,train
544354,train
432506,train
464474,test
547922,train
592721,val
438496,test
421496,train
477424,train
631558,val
500270,train
541079,test
438622,val
642168,test
442872,train
607477,train
566474,val
509432,train
511473,test
596175,train
464734,test
611261,train
559555,val
516540,val
489118,test
617657,test
443916,train
436161,train
524006,train
462149,test
643736,train
585869,train
457044,train
448192,train
520419,test
531484,val
592647,train
555819,train
644704,train
537691,train
494239,train
495092,train
488772,val
531764,train
532116,train
470278,val
546215,train
468084,train
535434,train
565051,val
505272,train
642768,val
465513,train
593996,train
512933,train
633457,train
647258,val
467815,train
640631,val
497036,val
634675,test
514472,train
488118,train
608955,train
565201,train
526662,train
591123,train
519756,train
480702,test
536080,test
494894,train
646982,test
591322,val
450860,train
450487,val
459242,test
423912,train
611296,train
562686,train
467459,val
516532,test
441743,train
470527,test
465591,train
630688,train
604609,train
576460,train
538308,val
434175,train
593037,val
471265,train
506930,train
467070,train
647609,train
465590,val
562668,train
646979,train
450745,test
538161,test
525333,test
500501,val
491434,train
631356,train
431452,train
573113,train
440696,train
650259,train
567413,train
548442,val
441295,train
500438,train
494338,train
549308,train
456391,train
541724,train
471784,test
503128,train
650736,train
609326,val
505843,val
456255,val
570216,train
423744,train
497151,train
649853,val
456427,train
565294,val
570432,train
430233,train
462628,train
470464,train
505813,train
463350,test
574869,test
631023,test
608665,train
562483,val
640499,train
448087,train
550311,val
417468,train
529001,train
560400,train
597905,train
554864,train
581659,train
426634,test
541167,train
442536,train
615515,train
435544,train
615509,val
566946,train
423801,train
520344,train
496192,val
516480,val
581824,train
492265,train
559423,train
563494,test
615598,train
437476,train
644937,train
512395,test
561815,val
499331,test
443102,train
548450,train
502881,train
541302,train
652801,train
598474,train
431164,train
629194,train
520374,train
429829,train
652679,train
639776,train
568870,train
527313,train
620197,train
618897,train
629232,train
492676,val
551323,train
605388,val
615564,train
492106,train
563473,train
454756,train
541002,train
525566,test
599197,train
469097,train
598987,train
511565,train
549062,test
647469,train
439575,train
599007,test
646855,train
481507,train
449519,train
452210,train
522260,test
495675,train
642972,test
563281,train
604259,train
427246,val
544023,val
476039,train
504552,train
433454,test
429543,train
545870,train
479866,test
550081,val
434198,train
649220,train
550693,train
492666,test
557771,train
459708,train
626723,train
505207,test
524984,train
446589,train
455556,train
449474,train
522708,train
500677,train
550107,test
599187,train
487693,train
434212,val
451778,train
644857,train
457469,val
538199,train
433212,train
567090,test
581881,val
434387,train
451386,train
423992,train
560390,test
454562,val
508773,train
593179,train
600016,train
461954,train
618252,train
457493,train
439627,train
554774,train
561014,train
439620,train
553845,train
448164,val
545303,train
500523,test
524939,train
598290,test
638342,val
654017,val
458279,train
559166,train
510327,test
599141,val
465541,train
454571,val
537012,test
568722,train
524557,train
451875,test
629308,train
615385,test
543687,train
630368,train
652853,train
604478,train
477241,train
505368,train
645457,train
438379,train
428938,train
633521,train
633525,train
635858,train
431206,val
615204,test
470858,train
509510,train
523181,train
636704,train
478243,test
543354,train
652358,test
528381,train
503126,train
542872,train
557956,train
644376,train
611086,test
430438,val
453194,test
645473,val
630722,test
518604,test
602551,train
554374,train
608647,train
464963,train
444641,val
610670,train
426466,train
637263,train
518075,train
616152,train
529246,train
547966,train
528322,train
470345,train
558011,train
636053,train
493084,train
419325,train
440751,train
550379,train
475840,train
642013,train
629071,val
610013,test
610920,train
460091,train
506891,train
444800,train
479708,train
477329,train
474564,train
462894,train
506295,train
446089,train
509780,test
610837,train
492084,train
431389,train
629632,train
645757,train
539672,test
639750,train
652504,train
639543,train
482728,test
557363,train
567931,train
560813,train
619050,train
499735,train
469297,val
573249,val
649357,val
479821,train
573251,train
635256,train
606202,val
612525,train
621119,train
572897,train
644954,train
606838,test
469499,train
479478,train
652985,train
649229,val
576046,val
508977,train
483530,val
483235,train
462200,train
500638,train
604180,test
631405,train
525691,test
620570,train
439147,train
461299,train
635094,train
630484,test
525671,train
580926,train
470827,train
610906,train
563708,train
617083,test
471274,train
619761,train
584752,test
563630,train
550005,test
552808,test
565572,train
612467,val
439335,train
597165,train
536404,train
558966,test
647833,train
620130,train
442253,train
644303,train
597430,train
573604,train
541399,test
628167,train
543309,train
623726,train
442210,train
628108,train
628089,train
462394,train
631354,train
432349,val
546805,train
534629,train
447124,test
442310,train
625509,train
432340,train
573532,train
523305,train
539986,train
623820,train
524001,train
523952,train
524084,train
625894,train
623583,test
625775,test
626707,train
442155,train
537061,train
432325,train
631447,train
627852,val
625727,train
456585,train
525179,train
442270,val
547617,train
573315,train
550418,train
573343,test
508596,train
490211,train
450386,train
623651,train
623774,test
547057,train
521683,train
577068,train
432405,train
422913,train
471118,train
435538,train
577087,train
536990,train
573332,val
447055,val
577078,train
540119,train
544533,test
436967,train
623750,train
447063,train
439517,val
531644,train
625576,train
456694,test
521681,train
628118,train
577075,val
638284,train
445962,train
462235,test
638285,train
577073,train
577074,train
589032,train
623668,train
476542,train
471181,train
478478,train
455420,train
562793,test
486509,train
577179,train
596460,test
531214,train
516035,train
601658,train
454403,train
419849,train
608717,train
532791,train
569618,train
595092,train
531465,train
500301,train
458435,train
586720,train
428777,train
546347,train
534279,train
568117,train
445070,val
564423,test
453255,val
450213,train
456773,train
477577,train
615140,train
538720,train
640018,train
501916,val
502105,train
540925,train
583466,val
580907,train
586749,train
440241,train
469827,train
581954,val
532521,val
649413,train
519501,train
541764,train
583536,train
556127,test
498395,train
572812,train
571099,train
439569,train
492951,train
587714,val
577826,train
512670,train
649737,train
528795,train
490449,train
513164,test
490832,train
574902,train
596663,test
452629,train
450721,train
639301,test
426443,train
444057,train
650745,train
473424,test
540985,train
507559,train
437007,train
507478,train
490084,train
435158,train
418802,test
441948,test
588041,train
420296,train
643333,train
523974,train
418798,train
478294,train
468009,train
575125,train
461407,train
438915,test
470622,test
640218,train
493598,train
579270,train
529027,val
475849,val
436532,train
605348,train
545767,train
448180,train
448375,train
463691,train
430577,train
529680,train
538650,train
519170,val
640423,test
487460,val
611211,train
600092,test
508821,test
606322,train
536672,test
522051,train
643479,train
518241,val
611210,test
472835,train
643412,train
627028,train
524183,train
640557,train
591206,train
576665,train
599279,train
512200,train
618556,val
434511,train
599872,train
641525,train
530808,train
467480,train
463597,train
631989,val
605354,train
629298,train
601036,train
629969,val
627227,train
472000,train
607894,val
552931,val
610947,train
480637,train
520847,train
466957,train
640582,val
476668,train
613327,val
516000,test
527423,val
535412,train
545338,train
528025,train
473461,train
629818,val
594607,train
470581,train
437081,train
421626,train
482392,train
604576,train
626457,val
434378,test
601496,train
518697,train
480485,train
516052,test
552137,train
481919,train
522717,train
464787,train
477595,test
478054,test
595483,train
594024,train
611280,train
601456,val
590571,train
627406,train
473513,val
625193,train
461705,train
641261,val
544361,train
545179,test
478536,test
576348,test
601112,train
618657,train
643939,train
422546,train
508504,train
473414,train
637988,val
632125,train
477007,train
518343,train
614239,train
427383,train
430654,train
577268,train
436133,train
555976,train
529570,train
606949,train
600023,train
650331,train
524708,train
599051,train
477368,val
577432,test
463593,train
463458,train
461517,test
539217,train
530511,train
652067,train
455429,test
502227,val
595674,train
652132,test
473966,train
577431,train
596183,val
505529,train
500219,train
484928,test
637262,train
617899,train
596784,train
508150,train
529270,train
600852,val
441248,train
425010,train
477132,train
445812,train
491556,train
541283,test
497978,test
445787,train
646315,train
460316,train
434362,train
533432,train
588499,train
595824,val
489503,val
508070,train
450983,train
483997,train
532824,train
459447,train
588884,test
502452,train
600097,test
539538,train
527560,test
582389,test
425711,train
630406,train
492245,train
514520,train
464149,train
449908,train
538107,train
499188,test
438756,train
516166,test
577557,test
418190,train
616296,train
428322,train
642239,test
423847,val
515070,train
571406,test
564021,train
467639,test
423459,train
624995,train
564712,val
615634,train
542985,train
550012,train
575539,val
568664,train
594114,train
636898,test
564393,val
547726,train
575318,test
560318,val
541065,train
550546,train
561739,train
572320,train
568771,val
533297,train
547936,train
436947,train
467470,train
517866,test
437078,val
575836,train
458865,test
518395,val
547771,train
467425,train
550541,train
550534,train
566059,train
592772,val
555034,train
479239,train
539860,train
575102,test
592281,train
591929,test
550583,train
592095,train
533282,train
498723,train
500370,train
517517,val
564533,test
456121,val
423517,val
528490,val
504131,val
418482,val
518171,train
521415,val
548046,train
631621,train
550430,train
550421,train
478486,train
569916,val
560402,train
532968,train
607747,train
528743,test
591680,test
494837,train
527228,train
574986,val
539792,train
605760,train
618922,train
533372,train
528415,train
560274,test
614673,test
418282,val
560855,train
620175,train
522105,val
592468,val
630073,val
481183,train
604520,train
605828,train
559886,train
574969,val
461590,train
555244,train
553616,train
564612,train
467703,train
602374,test
619230,train
568825,train
570628,train
591551,train
516155,test
467705,test
438835,test
602543,train
592432,test
418287,train
652219,train
570553,train
647967,train
449929,test
636915,test
529087,train
529103,train
619139,train
418667,train
555085,train
570155,train
605127,train
503677,val
573041,train
446684,train
492286,train
601703,test
462238,train
633193,val
468791,train
512605,train
525195,test
448655,train
500091,train
535404,test
460201,train
635715,train
526341,train
517247,train
541768,train
468222,train
637980,train
434997,train
422809,val
482772,train
517629,train
636613,test
462356,train
466060,train
588148,train
494336,train
521788,train
503672,test
525777,train
481384,train
521970,val
434122,train
538473,val
580246,train
453427,train
604509,train
600460,test
526608,train
421811,train
440650,train
473490,train
563383,train
522353,train
431256,test
462668,train
564463,train
458884,train
525206,train
494871,train
486380,train
446736,train
486855,val
606089,test
453467,test
519094,test
565775,train
626741,val
461175,test
585793,train
510783,train
607713,train
458816,val
495396,train
434411,train
492372,train
478359,test
446726,train
453149,train
529720,test
454987,train
525462,train
487199,train
463563,train
488409,train
535048,train
468455,train
436028,train
465751,train
492299,train
517564,train
444250,train
461555,train
517183,val
517118,val
458683,test
461714,train
586732,train
563895,val
556235,val
466812,val
470571,train
455806,train
490748,train
612010,val
499990,test
648945,train
467054,train
452746,train
591948,test
580537,train
534878,train
598767,train
573137,train
646433,val
463576,train
490553,train
473367,train
554929,train
598523,train
584684,train
548609,train
580905,train
612492,train
496810,train
524883,train
421665,train
620884,train
494452,train
505991,train
584740,train
584850,train
575838,train
435835,train
467508,train
648602,train
515738,train
592073,val
650267,val
458833,train
479247,train
523794,train
535686,train
583193,train
505508,train
563930,val
502855,train
492601,train
619203,train
456539,train
541583,train
444153,train
526682,train
636014,test
462014,train
542202,val
626926,test
592470,train
436145,test
636991,val
502161,val
567767,train
549683,train
435718,train
535309,train
625955,train
473977,train
428114,test
627046,train
631177,train
518010,train
438005,train
552899,train
573066,train
569562,train
495213,train
491256,test
519428,val
542842,train
563549,train
488895,train
425936,train
477853,train
516212,test
640697,train
646499,train
482871,train
464354,train
544659,val
512699,train
419760,train
533474,train
452821,train
462581,train
450879,train
441216,train
557420,train
472957,test
523548,test
544654,train
427523,train
469204,train
438190,train
424375,test
569694,train
535090,val
477370,train
598923,train
642665,val
497214,train
516232,train
496538,test
649491,train
425566,val
633812,test
434202,val
505990,train
544649,train
614463,val
525349,train
601811,test
446931,test
460084,train
650209,val
559192,train
646539,train
429750,test
423246,train
592584,test
509567,val
525414,val
449872,test
492506,train
450146,train
419851,train
431835,test
571346,test
626749,test
614571,test
434016,train
618003,train
617844,train
525060,val
464542,train
556128,val
446553,train
599662,train
433891,train
624383,train
489276,train
452385,train
467533,train
457221,val
527055,train
417674,train
473300,test
647626,train
519595,train
624065,train
518732,train
536253,train
539473,train
477389,train
467537,test
477410,train
606009,train
640562,train
577862,train
433864,train
501337,train
433883,val
536667,train
557867,train
533270,train
624899,train
626359,train
482055,train
469009,train
564828,train
462665,train
610910,val
516045,train
565104,train
466761,train
517771,train
527068,train
435362,train
447746,train
614376,train
510084,train
464557,train
461773,train
636906,train
455386,train
462723,val
604023,train
617314,train
617264,train
503696,test
610861,train
614133,train
458111,train
503625,train
623439,train
553457,test
492585,train
464874,train
535214,train
448466,test
572749,test
514465,train
542897,train
419344,test
534153,train
521184,train
519847,train
